QueryType,QueryText,KccAns
Disease Management,VETERINARY RELATED DOUBT,Recommended to contact Animal husbandry department toll free number = 1800 419 8800
"	Plant Protection	",red palm weevil attack,"Recommended to apply 20 g Metarhizium in 1 litre of water and spray in the cowdung pit.
Apply peruvelam leaves into the cowdung pit.
Close all the holes on the trunk except the topmost hole
Apply 2 ml Imidachloprid in 4 litre of water and pour through the topmost hole.

Contact Thiruvalla Research Station 0469 2604181
Mancomb Research Station 0477 2702245"
Cultural Practices,Methods of planting in coconut,"Recommended to The size of pits for planting would depend upon soil type and water table.In loamy soils with low water table,pit size of 1m*1m*1m is recommended.In laterite soils with underlying rock, take larger pts of size 1.2mx1.2mx1.2m .In sandy soils, the size of pits may be 0.75mx0.75mx0.75m.The pits may be filled upwith top soil to a height of 60 cm below the ground level "
"	Plant Protection	",Attack of ant in cow pea,"Recommended to spray cows urine bird chilli mixture
1 litre cowsurine  and 20 bird chillies extract and mix it.keep it overnight.
filter it thoroughly and add  9 litre of water and
spray all over the plant and breeding sites of ant."
Government Schemes,How much quantity of  Magnesium sulfate is to be added to coconut ,Recommended to add 500 g Magnesium sulfate per palm 
Cultural Practices,Why my Papaya flowers not bear fruits ,"Recommended to spray Sugar syrup ( (sugar : water -1: 1)for better pollination 
"
Credit,Schemes related to vermicomposting Bee keeping ,"Recommended to contact 
 SHM Vermicomposting schemes   0471 2330856 
Bee keeping contact number  -0481 2576622
"
"Animal Production (Piggery, Goatery, Sheep Farming etc.)",Animal husbandry contact toll free number ,"Recommended to contact toll free number 18004198800
"
Market Information,Pathanamthitta  vfpck contact number ,Suggested to contact  0473-4252030 ( Pathanamthitta  vfpck ) 
Nutrient Management,"Asking about PM kisan samman nidhi scheme information	",Recommended to update through https://pmkmy.gov.in/ portal website or E service centre
Government Schemes,PM samman nidhi application submitted money didint get yet ,"Suggested to wait due to technical issues processing of money is delaying
for more queries regarding pm kisan scheme contact nearest agriculture office 
"
Nutrient Management,kvk pathanamthitta contact number,PGPR 2 can be sprayed 20g per litre of water
Nutrient Management,How can we apply Plant Growth Promoting Rhizobacteria (PGPR) 2,PGPR 2 can be sprayed 20g per litre of water
Cultural Practices,What to be applied to make the vegetative growth better  in fodder grass,"Recommended to give nitrogen containing fertilizers 
Recommended to give a spray of urea 2 g per liter water and give a spray "
Government Schemes,PMKISAN,"Suggested to contact near by krishi bhavan and correct the wrongly filled application and resubmit 
"
Nutrient Management,"Fertilizer recommendation of Coconut
","Recommended to apply Urea-500gm, Rock phosphate/rajphos-750gm and Muriate of potash-1kg for mature coconut palm"
"	Plant Protection	",Can I spray Fungicide 2 hours after fertilizer spray ?,Recommended to spray  Fungicide 2 hours after fertilizer spray in morning or evening hours 
Government Schemes,"Salient Features of Kisan Credit Card Loan Scheme
","Suggested All farmers who are eligible for the Kisan Credit Card will be issued a smart card cum debit card in addition to the Kisan Credit Card.
The facility of revolving credit is available for any amount of withdrawals and repayments made within the credit limit. However, instalments of the amount withdrawn have to be repaid within 12 months.
Based on the annual review, banks will determine the validity of the existing credit card.
Credit limits can be increased at the issuing bank’s discretion to accommodate for changes in cropping pattern, increase in operating costs, etc. as an incentive for good record on credit card usage.
Conversion/rescheduling of loans also permissible in case of damage to crops due to natural calamities."
Government Schemes,Benefits of Kisan Credit Cards,"Suggested All farmers who are eligible for the Kisan Credit Card will be issued a smart card cum debit card in addition to the Kisan Credit Card.
The facility of revolving credit is available for any amount of withdrawals and repayments made within the credit limit. However, instalments of the amount withdrawn have to be repaid within 12 months.
Based on the annual review, banks will determine the validity of the existing credit card.
Credit limits can be increased at the issuing bank’s discretion to accommodate for changes in cropping pattern, increase in operating costs, etc. as an incentive for good record on credit card usage.
Conversion/rescheduling of loans also permissible in case of damage to crops due to natural calamities."
