QueryType,QueryText,KccAns
Varieties,Please tell me late variety of wheat,Late variety of wheat -pbw-373 up-2425 dbw-16 raj-3765
Crop Insurance,I want to online crop insurance,Contact on this number 011-23382012
Plant Protection,Tell me root rot control in wheat,Use carbendazim 400 gm/ acre in root zone with irrigation
Training and Exposure Visits,I want to mushroom related training.,Contact in kvk. The contact number is 0129-2202332
"Animal Production (Piggery, Goatery, Sheep Farming etc.)",Tell me animal related problem.,Contact on this number 18001801199
Seeds and Planting Material,Variety of long brinjal,"Variety of long brinjal-pusa haybrid -6 ,pusa karanti pusa sayamla"
Fertilizer Use and Availability,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil
Government Schemes,Tell me mahuba agriculture department contact number.,Contact on this number 9235629623
Cultural Practices,Tell me save crop for frost effect.,Spray sulphuric acid 1 litre dissolve in 1000 litre water and spray one hectare.
Government Schemes,Tell me subsidy on solar plant,Subsidy on solar plant=70% of total cost
Fertilizer Use and Availability,Tell me orignal urea identification.,Ureas white colour and hard or equal size granules total dissolve in water and feel cold for touch.
Market Information,Tell me tulsi buyer company related knowledge.,Contact on this number 1800118989
Animal Breeding,Tell me animal insurance,Contact in vetenary hospital
"Power, Roads etc.",Tell me how to collect soil sample,Dig 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil
Mushroom Production,Tell me about mushroom training,"Please contact krishi vigyan kendra, chhaulas, dadri, distt. gautam budh nagar dr mayank kumar rai, head kvk, contact no.: +91-8178365872"
Nutrient Management,Tell me control of leaf yellow in wheat,Spray zinc sulphate 33% 5 gm+bujha chuna 2.5 gm/litre water
Seeds and Planting Material,I want to mushroom span.,Contact in horticulture department 0581 2302098
Fertilizer Use and Availability,Tell me fertilizers in wheat,Urea-10 gram/litre + zinc sulphate 5 gram/litre spray
Fertilizer Use and Availability,Tell me cont num of ncof,"Contact on this number 0120-2764906, 2764212"
Organic Farming,Tell me cont num odf ujwa kvk,"Contact on this number tel. 011-65638199, mob. 08888867619"
Cultural Practices,Tell me varaities of bottle gaurd,"Pusa navin,pusa sumer prolific long"
Animal Breeding,Tell me contact number of animal husbandry ,Contact number of animal husbandry-1800 180 6224
Weed Management,Tell me weed control in wheat,All weed control in wheat crops spray total( sulfosulfuran 75%+metasulfuran methyl 5 % )80 wg 32 gm dissolve 400-500 litar water spray after sowing 30-35 days
Integrated Farming,I want to poultry related training.,"Contact on this number cari izatnagar 0581-2303223, 2301220"
Government Schemes,I want to subsidy on tubewell in up.,Contact in agriculture department.
Cultural Practices,Tell me jal murgi related problem in wheat field.,Contact on this number 1800118989
Soil Health Card,Tell me suitable plant and crop in my area.,Firstly soil test your field.
Fertilizer Use and Availability,Tell me urea dose in wheat crop.,Use urea 100kg per hectare standing crop.
Government Schemes,I want to subsidy on solar pump.,Contact in your distt horticulture department.
Seeds and Planting Material,Tell me opium popy sowing time.,October last to november first week.
